"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21","744.73","721.93","755.77","721.34","74.45M","4.07%"
"Mar 21","715.61","728.61","761.95","693.84","2.19B","-0.45%"
"Feb 21","718.86","673.95","743.91","670.59","2.17B","9.35%"
"Jan 21","657.39","663.49","692.18","654.12","1.83B","0.35%"
"Dec 20","655.09","628.96","659.55","622.50","1.88B","5.54%"
"Nov 20","620.72","532.55","627.32","530.03","2.03B","17.40%"
"Oct 20","528.74","536.46","563.84","520.71","1.36B","-0.86%"
"Sep 20","533.31","562.84","569.73","513.28","1.55B","-4.83%"
"Aug 20","560.36","542.11","574.97","540.12","1.45B","3.91%"
"Jul 20","539.29","505.65","544.48","498.56","1.46B","7.20%"
"Jun 20","503.06","478.51","520.98","475.15","2.51B","5.28%"
"May 20","477.85","447.98","481.38","428.96","2.17B","4.64%"
"Apr 20","456.66","358.45","467.39","352.01","2.36B","24.97%"
"Mar 20","365.41","522.99","542.09","312.15","2.98B","-29.68%"
"Feb 20","519.62","576.78","599.70","505.04","1.47B","-10.02%"
"Jan 20","577.48","598.77","602.31","575.95","1.50B","-3.02%"
"Dec 19","595.49","567.26","599.01","561.25","1.50B","5.10%"
"Nov 19","566.62","553.57","566.62","553.24","1.38B","2.49%"
"Oct 19","552.86","564.56","564.95","542.92","1.29B","-2.03%"
"Sep 19","564.30","582.93","592.72","563.22","1.39B","-3.05%"
"Aug 19","582.06","588.66","595.28","569.12","1.33B","-1.70%"
"Jul 19","592.13","573.93","598.60","571.35","1.16B","2.98%"
"Jun 19","574.99","555.11","582.91","555.11","1.13B","4.00%"
"May 19","552.89","577.55","577.87","550.85","1.18B","-4.37%"
"Apr 19","578.13","583.95","594.29","577.08","1.12B","-0.42%"
"Mar 19","580.55","589.32","597.39","576.29","1.44B","-1.44%"
"Feb 19","589.03","567.54","593.47","563.85","1.12B","3.81%"
"Jan 19","567.40","524.93","569.21","521.88","1.22B","7.52%"
"Dec 18","527.72","555.29","557.16","502.68","1.40B","-3.88%"
"Nov 18","549.04","575.25","588.71","538.42","1.43B","-4.17%"
"Oct 18","572.91","626.18","627.35","562.11","1.41B","-7.72%"
"Sep 18","620.86","630.83","630.83","610.12","1.31B","-1.65%"
"Aug 18","631.29","634.50","639.54","609.00","1.41B","-0.63%"
"Jul 18","635.28","643.56","651.16","631.27","1.20B","-1.13%"
"Jun 18","642.51","645.64","651.91","636.95","1.52B","-0.57%"
"May 18","646.20","635.20","661.92","633.21","1.64B","1.60%"
"Apr 18","636.02","606.36","640.75","595.75","1.48B","4.92%"
"Mar 18","606.19","613.58","629.39","597.64","1.44B","-1.53%"
"Feb 18","615.59","644.85","646.04","592.09","1.28B","-4.64%"
"Jan 18","645.57","662.05","673.29","642.19","1.48B","-2.26%"
"Dec 17","660.51","646.06","661.54","627.98","1.14B","2.32%"
"Nov 17","645.52","648.65","652.57","622.04","1.48B","0.19%"
"Oct 17","644.27","631.47","647.10","628.18","1.18B","1.55%"
"Sep 17","634.45","624.74","638.89","613.88","1.27B","1.78%"
"Aug 17","623.36","622.45","623.74","602.55","1.13B","0.10%"
"Jul 17","622.71","624.27","628.02","600.18","975.01M","-0.13%"
"Jun 17","623.52","622.68","632.29","603.20","1.73B","0.14%"
"May 17","622.66","650.13","656.68","617.21","1.55B","-4.20%"
"Apr 17","649.94","664.93","685.53","642.79","1.30B","-2.17%"
"Mar 17","664.35","663.27","672.66","638.33","1.81B","0.64%"
"Feb 17","660.11","663.77","698.76","658.31","1.43B","-0.20%"
"Jan 17","661.41","663.31","679.25","659.04","1.45B","0.42%"
"Dec 16","658.66","640.54","666.40","638.57","1.72B","3.56%"
"Nov 16","636.04","629.95","637.58","600.81","1.77B","1.76%"
"Oct 16","625.02","643.87","653.07","623.79","1.46B","-2.77%"
"Sep 16","642.85","622.90","664.18","621.69","1.95B","2.83%"
"Aug 16","625.18","653.96","669.34","622.51","1.78B","-3.69%"
"Jul 16","649.15","627.91","651.90","624.33","1.75B","5.40%"
"Jun 16","615.90","586.39","623.25","581.32","2.31B","5.02%"
"May 16","586.48","591.76","605.70","563.61","2.03B","-0.49%"
"Apr 16","589.37","519.84","591.56","517.29","2.22B","12.22%"
"Mar 16","525.21","493.39","534.28","489.86","2.92B","7.07%"
"Feb 16","490.51","464.54","490.51","449.14","2.09B","5.11%"
"Jan 16","466.68","487.75","489.89","412.67","1.97B","-4.24%"
"Dec 15","487.34","497.78","499.81","459.42","1.75B","-1.92%"
"Nov 15","496.88","505.89","520.77","482.74","1.58B","-1.90%"
"Oct 15","506.50","488.48","538.46","482.26","1.79B","4.30%"
"Sep 15","485.64","520.52","520.52","476.90","1.28B","-7.19%"
"Aug 15","523.27","537.97","542.64","476.10","1.18B","-2.86%"
"Jul 15","538.70","576.55","577.71","523.18","1.10B","-6.63%"
"Jun 15","576.93","601.04","607.28","573.12","1.14B","-3.85%"
"May 15","600.02","599.27","613.22","589.08","1.20B","0.08%"
"Apr 15","599.56","574.89","604.23","574.89","1.36B","4.55%"
"Mar 15","573.49","598.63","600.09","559.68","1.60B","-4.16%"
"Feb 15","598.37","581.20","602.29","578.48","1.38B","3.01%"
"Jan 15","580.89","577.84","588.87","557.62","1.63B","0.32%"
"Dec 14","579.03","582.85","586.64","537.30","2.15B","-0.71%"
"Nov 14","583.18","586.84","620.57","574.05","1.56B","-0.36%"
"Oct 14","585.30","640.13","641.26","576.56","1.58B","-8.49%"
"Sep 14","639.58","707.15","707.15","638.70","1.56B","-9.56%"
"Aug 14","707.15","691.25","708.25","679.15","1.29B","2.30%"
"Jul 14","691.25","710.38","718.57","689.36","1.40B","-2.69%"
"Jun 14","710.38","665.94","717.04","665.94","1.54B","6.67%"
"May 14","665.93","678.96","686.44","656.28","1.41B","-1.92%"
"Apr 14","678.96","654.27","684.94","654.27","1.59B","3.77%"
"Mar 14","654.27","655.03","665.71","643.12","1.79B","-0.12%"
"Feb 14","655.03","619.91","655.03","605.96","1.56B","5.67%"
"Jan 14","619.91","610.69","639.59","609.87","1.59B","1.51%"
"Dec 13","610.71","596.93","611.00","584.58","1.31B","2.29%"
"Nov 13","597.02","597.31","599.85","582.60","1.39B","-0.05%"
"Oct 13","597.29","576.10","604.46","567.13","1.49B","3.67%"
"Sep 13","576.12","569.04","589.64","568.20","1.43B","1.28%"
"Aug 13","568.85","558.20","581.08","550.92","1.26B","1.91%"
"Jul 13","558.20","541.22","569.76","537.19","1.26B","3.80%"
"Jun 13","537.75","565.99","566.42","516.53","1.50B","-4.86%"
"May 13","565.22","551.73","567.11","544.53","1.67B","1.47%"
"Apr 13","557.02","585.17","584.98","526.81","1.47B","-4.77%"
"Mar 13","584.90","579.05","591.49","569.57","1.49B","0.75%"
"Feb 13","580.55","601.75","604.64","574.88","1.23B","-3.17%"
"Jan 13","599.55","593.02","610.16","585.24","1.42B","2.45%"
"Dec 12","585.23","574.41","585.23","565.25","1.23B","2.02%"
"Nov 12","573.65","599.22","605.63","556.96","1.36B","-4.08%"
"Oct 12","598.07","604.15","607.16","587.10","1.30B","-0.56%"
"Sep 12","601.42","586.73","618.78","584.14","1.59B","2.60%"
"Aug 12","586.18","571.92","599.93","564.91","1.18B","2.50%"
"Jul 12","571.90","563.86","578.29","549.21","1.07B","2.31%"
"Jun 12","559.01","569.08","591.91","543.54","1.51B","-2.52%"
"May 12","573.48","623.60","629.18","556.84","1.55B","-7.90%"
"Apr 12","622.69","645.45","650.04","602.91","1.48B","-3.92%"
"Mar 12","648.12","683.89","686.42","635.92","1.94B","-5.17%"
"Feb 12","683.44","672.07","695.07","663.09","1.80B","2.18%"
"Jan 12","668.86","624.35","671.95","617.29","1.74B","8.71%"
"Dec 11","615.29","628.85","637.34","586.07","1.59B","-2.43%"
"Nov 11","630.60","625.51","665.65","594.51","1.79B","-1.71%"
"Oct 11","641.60","581.58","652.14","533.39","1.94B","9.68%"
"Sep 11","584.96","688.62","689.71","581.30","1.82B","-15.18%"
"Aug 11","689.68","720.43","721.80","621.13","1.62B","-3.64%"
"Jul 11","715.72","715.35","745.43","709.58","1.29B","0.32%"
"Jun 11","713.41","757.57","759.57","683.94","1.54B","-6.11%"
"May 11","759.81","772.82","777.45","719.29","1.47B","-2.09%"
"Apr 11","775.99","781.75","803.43","763.82","1.51B","-0.74%"
"Mar 11","781.79","777.85","792.84","715.69","2.10B","0.88%"
"Feb 11","774.95","751.40","789.54","747.61","2.02B","3.66%"
"Jan 11","747.61","758.66","762.04","730.85","2.00B","-0.84%"
"Dec 10","753.93","713.24","757.94","708.79","2.10B","6.44%"
"Nov 10","708.30","681.11","714.04","663.97","2.47B","4.43%"
"Oct 10","678.25","643.45","678.25","638.01","1.92B","5.66%"
"Sep 10","641.90","610.95","646.30","608.53","1.62B","5.55%"
"Aug 10","608.15","591.65","609.70","583.22","1.26B","3.39%"
"Jul 10","588.21","561.79","589.99","551.19","1.47B","3.89%"
"Jun 10","566.19","580.53","602.49","564.07","1.59B","-2.97%"
"May 10","583.52","617.92","618.77","536.52","1.74B","-5.41%"
"Apr 10","616.87","601.37","622.76","598.01","1.57B","3.15%"
"Mar 10","598.01","581.95","611.87","579.62","1.96B","3.17%"
"Feb 10","579.62","557.63","587.04","547.41","1.35B","4.24%"
"Jan 10","556.03","579.86","607.27","554.96","1.70B","-3.15%"
"Dec 09","574.12","546.03","574.98","539.37","1.65B","6.13%"
"Nov 09","540.96","513.63","551.35","505.71","1.78B","5.77%"
"Oct 09","511.44","511.46","540.81","485.73","2.21B","-0.21%"
"Sep 09","512.52","463.58","512.52","455.97","2.28B","10.26%"
"Aug 09","464.83","444.37","468.65","439.99","1.76B","5.65%"
"Jul 09","439.99","422.83","439.99","391.67","1.77B","3.78%"
"Jun 09","423.98","434.31","447.97","405.29","2.13B","-1.34%"
"May 09","429.76","386.18","431.59","383.22","2.25B","12.14%"
"Apr 09","383.22","349.53","390.13","347.49","1.97B","9.55%"
"Mar 09","349.81","336.16","361.19","308.70","1.74B","3.08%"
"Feb 09","339.35","364.15","374.83","322.73","1.39B","-7.45%"
"Jan 09","366.67","368.74","391.00","349.89","1.43B","-0.26%"
"Dec 08","367.64","340.07","368.33","302.80","1.70B","5.73%"
"Nov 08","347.71","389.90","410.95","302.10","1.70B","-10.23%"
"Oct 08","387.34","511.03","511.65","347.53","1.89B","-24.07%"
"Sep 08","510.13","628.82","638.22","493.00","1.88B","-20.07%"
"Aug 08","638.22","632.11","638.22","600.95","1.34B","0.76%"
"Jul 08","633.41","690.71","692.49","616.74","1.42B","-8.13%"
"Jun 08","689.50","700.50","712.82","682.33","1.45B","-1.65%"
"May 08","701.10","681.85","717.75","679.34","1.47B","2.79%"
"Apr 08","682.09","665.13","702.60","662.66","1.55B","1.74%"
"Mar 08","670.40","695.05","696.22","631.26","1.53B","-3.08%"
"Feb 08","691.69","658.13","703.16","645.59","1.50B","5.53%"
"Jan 08","655.43","707.94","715.54","598.73","2.04B","-7.06%"
"Dec 07","705.19","694.21","705.19","663.97","1.59B","1.87%"
"Nov 07","692.27","766.33","771.55","674.58","1.98B","-10.28%"
"Oct 07","771.55","750.95","771.55","742.49","2.19B","3.00%"
"Sep 07","749.06","731.82","754.26","731.73","1.63B","2.29%"
"Aug 07","732.31","785.80","789.89","679.11","1.84B","-7.29%"
"Jul 07","789.89","800.18","838.20","781.56","1.82B","-1.00%"
"Jun 07","797.88","810.95","818.98","781.10","1.88B","-1.51%"
"May 07","810.08","790.60","823.42","786.34","2.21B","2.48%"
"Apr 07","790.45","759.30","805.56","756.84","2.24B","4.21%"
"Mar 07","758.51","747.41","762.83","722.30","1.81B","0.94%"
"Feb 07","751.41","738.01","770.25","734.18","1.51B","2.20%"
"Jan 07","735.22","727.68","737.09","687.19","1.47B","1.19%"
"Dec 06","726.56","721.12","735.12","716.48","1.12B","0.45%"
"Nov 06","723.27","683.01","723.27","670.51","1.57B","-0.30%"
"Oct 06","725.45","677.93","736.24","640.40","1.48B","7.42%"
"Sep 06","675.33","724.73","731.60","653.33","1.37B","-6.75%"
"Aug 06","724.25","721.85","729.36","709.86","1.32B","0.41%"
"Jul 06","721.26","710.13","721.26","685.32","1.05B","1.84%"
"Jun 06","708.22","720.89","731.95","648.81","1.27B","-2.65%"
"May 06","727.53","748.33","759.73","686.06","1.66B","-2.35%"
"Apr 06","745.02","737.05","759.35","732.22","1.43B","1.75%"
"Mar 06","732.22","713.72","740.04","701.99","1.47B","2.78%"
"Feb 06","712.44","727.84","740.44","679.28","1.38B","-1.99%"
"Jan 06","726.94","684.51","729.84","680.92","1.30B","6.76%"
"Dec 05","680.92","653.91","687.97","651.53","811.09M","4.51%"
"Nov 05","651.53","624.96","661.11","624.74","714.29M","4.17%"
"Oct 05","625.44","673.62","676.08","614.17","568.21M","-6.88%"
"Sep 05","671.65","651.43","686.75","649.79","909.70M","3.36%"
